NAME,MedianHouseIncome
"Census Tract 131.04, San Diego County, California",54221
"Census Tract 132.03, San Diego County, California",29209
"Census Tract 132.04, San Diego County, California",36429
"Census Tract 132.05, San Diego County, California",37121
"Census Tract 132.06, San Diego County, California",41108
"Census Tract 133.01, San Diego County, California",74146
"Census Tract 133.02, San Diego County, California",74279
"Census Tract 133.03, San Diego County, California",54492
"Census Tract 133.06, San Diego County, California",63056
"Census Tract 133.07, San Diego County, California",84500
"Census Tract 133.08, San Diego County, California",67500
"Census Tract 133.09, San Diego County, California",89707
"Census Tract 133.1, San Diego County, California",93222
"Census Tract 133.11, San Diego County, California",106028
"Census Tract 133.12, San Diego County, California",72434
"Census Tract 133.13, San Diego County, California",112801
"Census Tract 133.14, San Diego County, California",114519
"Census Tract 134.01, San Diego County, California",80811
"Census Tract 134.09, San Diego County, California",84097
"Census Tract 134.10, San Diego County, California",121701
"Census Tract 134.11, San Diego County, California",93077
"Census Tract 134.12, San Diego County, California",96675
"Census Tract 134.14, San Diego County, California",102762
"Census Tract 134.15, San Diego County, California",91042
"Census Tract 134.16, San Diego County, California",91307
"Census Tract 134.17, San Diego County, California",132865
"Census Tract 134.18, San Diego County, California",87574
"Census Tract 134.19, San Diego County, California",109583
"Census Tract 134.20, San Diego County, California",92656
"Census Tract 134.21, San Diego County, California",92183
"Census Tract 135.03, San Diego County, California",63095
"Census Tract 135.04, San Diego County, California",84097
"Census Tract 135.05, San Diego County, California",71065
"Census Tract 135.06, San Diego County, California",70000
"Census Tract 136.01, San Diego County, California",81875
"Census Tract 136.04, San Diego County, California",84519
"Census Tract 136.05, San Diego County, California",109792
"Census Tract 136.06, San Diego County, California",78694
"Census Tract 137.01, San Diego County, California",91944
"Census Tract 137.02, San Diego County, California",62677
"Census Tract 138.01, San Diego County, California",67561
"Census Tract 138.02, San Diego County, California",53750
"Census Tract 139.03, San Diego County, California",70734
"Census Tract 139.05, San Diego County, California",88207
"Census Tract 139.06, San Diego County, California",48750
"Census Tract 139.07, San Diego County, California",46655
"Census Tract 139.08, San Diego County, California",67917
"Census Tract 139.09, San Diego County, California",60944
"Census Tract 140.01, San Diego County, California",55313
"Census Tract 140.02, San Diego County, California",81667
"Census Tract 141.01, San Diego County, California",68850
"Census Tract 141.02, San Diego County, California",62165
"Census Tract 142, San Diego County, California",80464
"Census Tract 143, San Diego County, California",62929
"Census Tract 144, San Diego County, California",33824
"Census Tract 145, San Diego County, California",60058
"Census Tract 146.01, San Diego County, California",42500
"Census Tract 146.02, San Diego County, California",91058
"Census Tract 147, San Diego County, California",70871
"Census Tract 148.03, San Diego County, California",57838
"Census Tract 148.04, San Diego County, California",60556
"Census Tract 148.05, San Diego County, California",59051
"Census Tract 148.06, San Diego County, California",48582
"Census Tract 149.01, San Diego County, California",59955
"Census Tract 149.02, San Diego County, California",60729
"Census Tract 150, San Diego County, California",70491
"Census Tract 151, San Diego County, California",75282
"Census Tract 152, San Diego County, California",111625
"Census Tract 153.01, San Diego County, California",63315
"Census Tract 153.02, San Diego County, California",98935
"Census Tract 154.03, San Diego County, California",114583
"Census Tract 154.04, San Diego County, California",56341
"Census Tract 154.05, San Diego County, California",102474
"Census Tract 154.06, San Diego County, California",134118
"Census Tract 155.01, San Diego County, California",83346
"Census Tract 155.02, San Diego County, California",102333
"Census Tract 156.01, San Diego County, California",68158
"Census Tract 156.02, San Diego County, California",113750
"Census Tract 157.01, San Diego County, California",32746
"Census Tract 157.03, San Diego County, California",25720
"Census Tract 157.04, San Diego County, California",48456
"Census Tract 158.01, San Diego County, California",35668
"Census Tract 158.02, San Diego County, California",47687
"Census Tract 159.01, San Diego County, California",42989
"Census Tract 159.02, San Diego County, California",53286
"Census Tract 160, San Diego County, California",75142
"Census Tract 161, San Diego County, California",88898
"Census Tract 162.01, San Diego County, California",95170
"Census Tract 162.02, San Diego County, California",56477
"Census Tract 163.01, San Diego County, California",39450
"Census Tract 163.02, San Diego County, California",38750
"Census Tract 164.01, San Diego County, California",80655
"Census Tract 164.02, San Diego County, California",47576
"Census Tract 165.02, San Diego County, California",42875
"Census Tract 165.03, San Diego County, California",69063
"Census Tract 165.04, San Diego County, California",48170
"Census Tract 166.05, San Diego County, California",61875
"Census Tract 166.06, San Diego County, California",105024
"Census Tract 166.07, San Diego County, California",87500
"Census Tract 166.08, San Diego County, California",99891
"Census Tract 166.09, San Diego County, California",91384
"Census Tract 166.10, San Diego County, California",86813
"Census Tract 166.12, San Diego County, California",94621
"Census Tract 166.13, San Diego County, California",97019
"Census Tract 166.14, San Diego County, California",93889
"Census Tract 166.15, San Diego County, California",98077
"Census Tract 166.16, San Diego County, California",67917
"Census Tract 166.17, San Diego County, California",58750
"Census Tract 167.01, San Diego County, California",84071
"Census Tract 167.02, San Diego County, California",62477
"Census Tract 168.02, San Diego County, California",76210
"Census Tract 168.04, San Diego County, California",71737
"Census Tract 168.06, San Diego County, California",61310
"Census Tract 168.07, San Diego County, California",82269
"Census Tract 168.09, San Diego County, California",93500
"Census Tract 168.10, San Diego County, California",86442
"Census Tract 168.11, San Diego County, California",71250
"Census Tract 169.01, San Diego County, California",90859
"Census Tract 169.02, San Diego County, California",93750
"Census Tract 170.06, San Diego County, California",142546
"Census Tract 170.09, San Diego County, California",85556
"Census Tract 170.10, San Diego County, California",120833
"Census Tract 170.14, San Diego County, California",58465
"Census Tract 170.15, San Diego County, California",88338
"Census Tract 170.18, San Diego County, California",64353
"Census Tract 170.19, San Diego County, California",81535
"Census Tract 170.20, San Diego County, California",140804
"Census Tract 170.21, San Diego County, California",141071
"Census Tract 170.22, San Diego County, California",93958
"Census Tract 170.29, San Diego County, California",172554
"Census Tract 170.30, San Diego County, California",146299
"Census Tract 170.31, San Diego County, California",96211
"Census Tract 170.32, San Diego County, California",132622
"Census Tract 170.33, San Diego County, California",143846
"Census Tract 170.34, San Diego County, California",126024
"Census Tract 170.35, San Diego County, California",76346
"Census Tract 170.36, San Diego County, California",111250
"Census Tract 170.37, San Diego County, California",100656
"Census Tract 170.39, San Diego County, California",104926
"Census Tract 170.40, San Diego County, California",128563
"Census Tract 170.41, San Diego County, California",108036
"Census Tract 170.42, San Diego County, California",127869
"Census Tract 170.43, San Diego County, California",121719
"Census Tract 170.44, San Diego County, California",139924
"Census Tract 170.45, San Diego County, California",154079
"Census Tract 170.46, San Diego County, California",127321
"Census Tract 170.47, San Diego County, California",141875
"Census Tract 170.48, San Diego County, California",62218
"Census Tract 170.49, San Diego County, California",97000
"Census Tract 170.50, San Diego County, California",68372
"Census Tract 170.51, San Diego County, California",97309
"Census Tract 170.52, San Diego County, California",96839
"Census Tract 170.53, San Diego County, California",149391
"Census Tract 170.54, San Diego County, California",105588
"Census Tract 170.55, San Diego County, California",126688
"Census Tract 170.56, San Diego County, California",107639
"Census Tract 171.04, San Diego County, California",113281
"Census Tract 171.06, San Diego County, California",113574
"Census Tract 171.07, San Diego County, California",176635
"Census Tract 171.08, San Diego County, California",120208
"Census Tract 171.09, San Diego County, California",164327
"Census Tract 171.10, San Diego County, California",146518
"Census Tract 172, San Diego County, California",110625
"Census Tract 173.03, San Diego County, California",162500
"Census Tract 173.04, San Diego County, California",85781
"Census Tract 173.05, San Diego County, California",110373
"Census Tract 173.06, San Diego County, California",125662
"Census Tract 174.01, San Diego County, California",116347
"Census Tract 174.03, San Diego County, California",143199
"Census Tract 174.04, San Diego County, California",89527
"Census Tract 175.01, San Diego County, California",112770
"Census Tract 175.02, San Diego County, California",98382
"Census Tract 176.01, San Diego County, California",114009
"Census Tract 176.03, San Diego County, California",115400
"Census Tract 176.04, San Diego County, California",71875
"Census Tract 177.01, San Diego County, California",80981
"Census Tract 177.02, San Diego County, California",104688
"Census Tract 178.01, San Diego County, California",85740
"Census Tract 178.08, San Diego County, California",148932
"Census Tract 178.09, San Diego County, California",87589
"Census Tract 178.10, San Diego County, California",104707
