ID,NAME,income
250,"Census Tract 100.15, San Diego County, California",96597
251,"Census Tract 101.03, San Diego County, California",46932
252,"Census Tract 101.04, San Diego County, California",63735
253,"Census Tract 101.06, San Diego County, California",49744
254,"Census Tract 101.07, San Diego County, California",64154
255,"Census Tract 101.09, San Diego County, California",80000
256,"Census Tract 101.10, San Diego County, California",52865
257,"Census Tract 101.11, San Diego County, California",45183
258,"Census Tract 101.12, San Diego County, California",42965
259,"Census Tract 102, San Diego County, California",60806
260,"Census Tract 103, San Diego County, California",61364
261,"Census Tract 104.01, San Diego County, California",50820
262,"Census Tract 104.02, San Diego County, California",47004
263,"Census Tract 105.01, San Diego County, California",70233
264,"Census Tract 105.02, San Diego County, California",44576
265,"Census Tract 106.01, San Diego County, California",125000
266,"Census Tract 108, San Diego County, California",99679
267,"Census Tract 109, San Diego County, California",115987
268,"Census Tract 110, San Diego County, California",99205
269,"Census Tract 111, San Diego County, California",100375
270,"Census Tract 113, San Diego County, California",152500
271,"Census Tract 116.01, San Diego County, California",35144
272,"Census Tract 116.02, San Diego County, California",42026
273,"Census Tract 117, San Diego County, California",37647
274,"Census Tract 118.01, San Diego County, California",46384
275,"Census Tract 118.02, San Diego County, California",43975
276,"Census Tract 119.02, San Diego County, California",63304
277,"Census Tract 120.02, San Diego County, California",31350
278,"Census Tract 120.03, San Diego County, California",77000
279,"Census Tract 121.01, San Diego County, California",42316
280,"Census Tract 121.02, San Diego County, California",49449
281,"Census Tract 122, San Diego County, California",54318
282,"Census Tract 123.02, San Diego County, California",28661
283,"Census Tract 123.03, San Diego County, California",47083
284,"Census Tract 123.04, San Diego County, California",60662
285,"Census Tract 124.01, San Diego County, California",42412
286,"Census Tract 124.02, San Diego County, California",48750
287,"Census Tract 125.01, San Diego County, California",27782
288,"Census Tract 125.02, San Diego County, California",36951
289,"Census Tract 126, San Diego County, California",50762
290,"Census Tract 127, San Diego County, California",39508
291,"Census Tract 128, San Diego County, California",58314
292,"Census Tract 129, San Diego County, California",74107
293,"Census Tract 130, San Diego County, California",59173
294,"Census Tract 131.02, San Diego County, California",54891
295,"Census Tract 131.03, San Diego County, California",50368
296,"Census Tract 131.04, San Diego County, California",54221
297,"Census Tract 132.03, San Diego County, California",29209
298,"Census Tract 132.04, San Diego County, California",36429
299,"Census Tract 132.05, San Diego County, California",37121
300,"Census Tract 132.06, San Diego County, California",41108
