ID,NAME,SNAP_People
591,"Census Tract 204.04, San Diego County, California",110
592,"Census Tract 204.05, San Diego County, California",0
593,"Census Tract 205, San Diego County, California",183
594,"Census Tract 206.01, San Diego County, California",242
595,"Census Tract 206.02, San Diego County, California",245
596,"Census Tract 207.05, San Diego County, California",48
597,"Census Tract 207.06, San Diego County, California",45
598,"Census Tract 207.07, San Diego County, California",212
599,"Census Tract 207.08, San Diego County, California",24
600,"Census Tract 207.09, San Diego County, California",83
601,"Census Tract 207.10, San Diego County, California",20
602,"Census Tract 208.01, San Diego County, California",135
603,"Census Tract 208.05, San Diego County, California",56
604,"Census Tract 208.06, San Diego County, California",185
605,"Census Tract 208.07, San Diego County, California",14
606,"Census Tract 208.09, San Diego County, California",48
607,"Census Tract 208.10, San Diego County, California",38
608,"Census Tract 208.11, San Diego County, California",49
609,"Census Tract 209.02, San Diego County, California",39
610,"Census Tract 209.03, San Diego County, California",161
611,"Census Tract 209.04, San Diego County, California",60
612,"Census Tract 210, San Diego County, California",99
613,"Census Tract 211, San Diego County, California",153
